Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22090407603,C005,0,0,0,0,0
22271500705,C001,40,10,0,0,0
22071409405,C005,0,0,0,0,0
22041605703,C007,20,5,5,0,5
22172807019,C009,20,5,1,0,1
22060400265,C006,50,13,4,0,4
22172506213,C011,30,8,2,0,2
22120918729,C003,80,20,16,0,16
22110410716,C004,16,4,4,0,4
22241208104,C006,28,7,7,0,7
22110810608,C009,40,8,8,0,8
22071500802,C006,0,0,0,0,0
22070605826,C002,40,10,8,3,5
22110420703,C011,0,0,0,0,0
22191221201,C001,0,0,0,0,0
22100701123,C001,40,10,0,0,0
22040301507,C012,0,0,0,0,0
22060208805,C003,0,0,0,0,0
22041408316,C009,40,10,1,0,1
22110407008,C004,45,11,2,0,2
22122120804,C002,0,0,0,0,0
22110432803,C011,25,6,2,2,0
22080714105,C010,0,0,0,0,0
22122113702,C004,60,15,8,0,8
22122504737,C007,50,20,20,3,17
22030503806,C005,6,4,4,0,4
22031304610,C012,0,0,0,0,0
22090813604,C004,72,18,8,2,6
22071500301,C008,60,15,5,0,5
22051015614,C012,0,0,0,0,0
22101100328,C010,0,0,0,0,0
22072516605,C003,60,15,13,0,13
22122506105,C012,0,0,0,0,0
22122504748,C003,52,10,10,0,10
22012201509,C008,0,0,0,0,0
22140000077,C006,0,0,0,0,0
22271800509,C003,0,0,0,0,0
22100700305,C005,45,11,11,0,11
22012008809,C007,0,0,0,0,0
22101100435,C002,32,8,8,1,7
22271414507,C007,32,8,6,0,6
22090812617,C010,40,10,9,2,7
22061711205,C003,0,0,0,0,0
22110406803,C009,80,20,11,0,11
22100615303,C006,137,35,35,0,35
22101110503,C009,0,0,0,0,0
22062407003,C001,0,0,0,0,0
22140702909,C003,56,14,14,0,14
22100710505,C004,21,8,8,2,6
22070313014,C005,90,23,22,1,21
22070307916,C007,0,0,0,0,0
22200612503,C002,60,17,14,0,14
22070325802,C001,0,0,0,0,0
22070605202,C006,0,0,0,0,0
22110441301,C010,0,0,0,0,0
22133017218,C001,40,10,10,0,10
22060704810,C009,0,0,0,0,0
22091110908,C003,0,0,0,0,0
22271404209,C001,110,26,19,0,19
22271415802,C007,0,0,0,0,0
22110416011,C002,100,26,26,0,26
22110410504,C011,0,0,0,0,0
22070307345,C004,40,10,9,0,9
22110408907,C011,8,2,2,1,1
